,province,city,district,county,street,community,show_address,cnt_inc_uncertain,cnt_inc_certain,cnt_inc_die,cnt_inc_recure,cnt_sum_uncertain,cnt_sum_certain,cnt_sum_die,cnt_sum_recure,full_address,lng,lat,source,distance
27,吉林省,长春市,高新区,,,飞跃经典小区,飞跃经典小区,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市高新区飞跃经典小区,125.241211,43.832779,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
28,吉林省,长春市,九台区,,,龙凤二期,龙凤二期,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市九台区龙凤二期,125.686569,44.224972,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
29,吉林省,长春市,九台区,,工商一条街,铁路家属楼,铁路家属楼,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市九台区工商一条街铁路家属楼,125.83828,44.150131,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
30,吉林省,长春市,二道区,,,力旺康城小区,力旺康城小区,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市二道区力旺康城小区,125.370705,43.945663,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
31,吉林省,长春市,宽城区,,,北十条荣旺天下,北十条荣旺天下,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市宽城区北十条荣旺天下,125.35038,43.917198,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
32,天津市,天津市,宁河区,,,,王北村,-1,-1,-1,-1,-1,1,-1,-1,天津市宁河区芦台镇王北村,117.771988,39.358971,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
33,天津市,天津市,宁河区,,,运河家园,运河家园,-1,-1,-1,-1,-1,2,-1,-1,天津市宁河区芦台镇运河家园,117.802422,39.351799,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
34,天津市,天津市,宝坻区,,宝平街道,华苑东区,华苑东区,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区宝平街道华苑东区,117.30587,39.709171,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
35,天津市,天津市,宝坻区,,宝平街道,宝平景苑东区,宝平景苑东区,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区宝平街道宝平景苑东区,117.295311,39.70789,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
36,天津市,天津市,宝坻区,,宝平街道,宝平景苑西区,宝平景苑西区,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区宝平街道宝平景苑西区,117.29137,39.70902,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
37,天津市,天津市,宝坻区,,宝平街道,河景馨园小区,河景馨园小区,-1,-1,-1,-1,-1,2,-1,-1,天津市宝坻区宝平街道河景馨园小区,117.289268,39.702579,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
38,天津市,天津市,宝坻区,,朝霞街道,开元新居小区,开元新居小区,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区朝霞街道开元新居小区,117.284828,39.741463,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
39,天津市,天津市,宝坻区,,海滨街道,宝鑫景苑小区,宝鑫景苑小区,-1,-1,-1,-1,-1,2,-1,-1,天津市宝坻区海滨街道宝鑫景苑小区,117.321983,39.73172,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
40,天津市,天津市,宝坻区,,海滨街道,御景华城小区,御景华城小区,-1,-1,-1,-1,-1,2,-1,-1,天津市宝坻区海滨街道御景华城小区,117.350296,39.738712,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
41,天津市,天津市,宝坻区,,,,焦山寺村,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区牛道口镇焦山寺村,117.290787,39.779079,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
42,天津市,天津市,宝坻区,,钰华街道,凯瑞国际小区,凯瑞国际小区,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区钰华街道凯瑞国际小区,117.336433,39.722679,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
43,天津市,天津市,宝坻区,,,,古庄村,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区大口屯镇古庄村,117.258926,39.592751,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
44,天津市,天津市,宝坻区,,,,大钟庄村,-1,-1,-1,-1,-1,2,-1,-1,天津市宝坻区大钟庄镇大钟庄村,117.577377,39.687401,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
45,天津市,天津市,宝坻区,,海滨街道,蓝水湾小区,蓝水湾小区,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区海滨街道蓝水湾小区,117.299263,39.739964,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
46,天津市,天津市,宝坻区,,,,前齐各庄村,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区口东镇前齐各庄村,117.405441,39.669762,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
47,天津市,天津市,宝坻区,,宝平街道,瑞景花园小区,瑞景花园小区,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区宝平街道瑞景花园小区,117.311768,39.72253,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
48,天津市,天津市,宝坻区,,朝霞街道,状元城小区,状元城小区,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区朝霞街道状元城小区,117.284828,39.741463,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
49,天津市,天津市,宝坻区,,,,窝贝厂村,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区林亭口镇窝贝厂村,117.533508,39.603519,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
50,天津市,天津市,宝坻区,,钰华街道,金玉四园小区,金玉四园小区,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区钰华街道金玉四园小区,117.309227,39.699261,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
51,天津市,天津市,滨海新区,,,中新生态城,中新生态城,-1,-1,-1,-1,-1,1,-1,-1,天津市滨海新区中新生态城,117.737556,39.116772,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
52,天津市,天津市,东丽区,,,揽湖苑别墅,揽湖苑别墅,-1,-1,-1,-1,-1,3,-1,-1,天津市东丽区揽湖苑别墅,117.499031,39.178452,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
