Country,Province,City,AllOrToday,confirm,suspect,dead,heal
中国,,,All,79394,1418,2838,39094
中国,,,Today,435,,,
中国,湖北,,All,66337,0,2727,28895
中国,湖北,,Today,423,,,
中国,湖北,武汉,All,48557,0,2169,17552
中国,湖北,武汉,Today,420,,,
中国,湖北,孝感,All,3518,0,115,2047
中国,湖北,孝感,Today,1,,,
中国,湖北,黄冈,All,2904,0,115,2119
中国,湖北,黄冈,Today,0,,,
中国,湖北,荆州,All,1579,0,46,965
中国,湖北,荆州,Today,0,,,
中国,湖北,鄂州,All,1390,0,44,747
中国,湖北,鄂州,Today,1,,,
中国,湖北,随州,All,1307,0,40,797
中国,湖北,随州,Today,0,,,
中国,湖北,襄阳,All,1175,0,33,802
中国,湖北,襄阳,Today,0,,,
中国,湖北,黄石,All,1013,0,34,675
中国,湖北,黄石,Today,0,,,
中国,湖北,宜昌,All,931,0,31,462
中国,湖北,宜昌,Today,0,,,
中国,湖北,荆门,All,924,0,37,563
中国,湖北,荆门,Today,0,,,
中国,湖北,咸宁,All,836,0,11,677
中国,湖北,咸宁,Today,0,,,
中国,湖北,十堰,All,671,0,7,421
中国,湖北,十堰,Today,0,,,
中国,湖北,仙桃,All,575,0,19,408
中国,湖北,仙桃,Today,0,,,
中国,湖北,天门,All,496,0,13,362
中国,湖北,天门,Today,0,,,
中国,湖北,恩施州,All,252,0,4,181
中国,湖北,恩施州,Today,1,,,
中国,湖北,潜江,All,198,0,9,107
中国,湖北,潜江,Today,0,,,
中国,湖北,神农架,All,11,0,0,10
中国,湖北,神农架,Today,0,,,
中国,湖北,监狱系统,All,0,0,0,0
中国,广东,,All,1349,0,7,972
中国,广东,,Today,1,,,
中国,广东,深圳,All,417,0,3,299
中国,广东,深圳,Today,0,,,
中国,广东,广州,All,346,0,1,249
中国,广东,广州,Today,0,,,
中国,广东,东莞,All,99,0,1,56
中国,广东,东莞,Today,1,,,
中国,广东,珠海,All,98,0,1,71
中国,广东,珠海,Today,0,,,
中国,广东,佛山,All,84,0,0,47
中国,广东,佛山,Today,0,,,
中国,广东,中山,All,66,0,0,58
中国,广东,中山,Today,0,,,
中国,广东,惠州,All,62,0,0,55
中国,广东,惠州,Today,0,,,
中国,广东,汕头,All,25,0,0,22
中国,广东,汕头,Today,0,,,
中国,广东,江门,All,23,0,0,14
中国,广东,江门,Today,0,,,
中国,广东,湛江,All,22,0,0,17
中国,广东,湛江,Today,0,,,
中国,广东,肇庆,All,19,0,1,13
中国,广东,肇庆,Today,0,,,
中国,广东,梅州,All,16,0,0,12
中国,广东,梅州,Today,0,,,
中国,广东,阳江,All,14,0,0,11
中国,广东,阳江,Today,0,,,
中国,广东,茂名,All,14,0,0,9
中国,广东,茂名,Today,0,,,
中国,广东,清远,All,12,0,0,12
中国,广东,清远,Today,0,,,
中国,广东,韶关,All,10,0,0,9
中国,广东,韶关,Today,0,,,
中国,广东,揭阳,All,8,0,0,5
中国,广东,揭阳,Today,0,,,
中国,广东,汕尾,All,5,0,0,5
中国,广东,汕尾,Today,0,,,
中国,广东,潮州,All,5,0,0,4
中国,广东,潮州,Today,0,,,
中国,广东,河源,All,4,0,0,4
中国,广东,河源,Today,0,,,
中国,广东,地区待确认,All,0,0,0,0
中国,河南,,All,1272,0,21,1161
中国,河南,,Today,0,,,
中国,河南,信阳,All,274,0,3,28
中国,河南,郑州,All,157,0,1,36
中国,河南,南阳,All,156,0,3,28
中国,河南,驻马店,All,139,0,0,25
中国,河南,商丘,All,91,0,3,9
中国,河南,周口,All,76,0,1,16
中国,河南,平顶山,All,58,0,1,13
中国,河南,新乡,All,57,0,3,6
中国,河南,安阳,All,53,0,0,10
中国,河南,许昌,All,39,0,0,2
中国,河南,漯河,All,35,0,0,6
中国,河南,焦作,All,32,0,1,1
中国,河南,洛阳,All,31,0,1,2
中国,河南,开封,All,26,0,0,1
中国,河南,鹤壁,All,19,0,0,3
中国,河南,濮阳,All,17,0,0,1
中国,河南,三门峡,All,7,0,1,3
中国,河南,济源示范区,All,5,0,0,0
中国,河南,地区待确认,All,0,0,3,971
中国,河南,地区待确认,Today,0,,,
中国,浙江,,All,1205,0,1,987
中国,浙江,,Today,0,,,
中国,浙江,温州,All,504,0,1,405
中国,浙江,温州,Today,0,,,
中国,浙江,杭州,All,169,0,0,159
中国,浙江,杭州,Today,0,,,
中国,浙江,宁波,All,157,0,0,145
中国,浙江,宁波,Today,0,,,
中国,浙江,台州,All,146,0,0,106
中国,浙江,台州,Today,0,,,
中国,浙江,金华,All,55,0,0,51
中国,浙江,金华,Today,0,,,
中国,浙江,嘉兴,All,45,0,0,35
中国,浙江,嘉兴,Today,0,,,
中国,浙江,绍兴,All,42,0,0,36
中国,浙江,绍兴,Today,0,,,
中国,浙江,省十里丰监狱,All,36,0,0,5
中国,浙江,省十里丰监狱,Today,0,,,
中国,浙江,丽水,All,17,0,0,17
中国,浙江,丽水,Today,0,,,
中国,浙江,衢州,All,14,0,0,12
中国,浙江,衢州,Today,0,,,
中国,浙江,湖州,All,10,0,0,9
中国,浙江,湖州,Today,0,,,
中国,浙江,舟山,All,10,0,0,7
中国,浙江,舟山,Today,0,,,
中国,湖南,,All,1018,0,4,841
中国,湖南,,Today,1,,,
中国,湖南,长沙,All,242,0,2,174
中国,湖南,长沙,Today,0,,,
中国,湖南,岳阳,All,156,0,1,114
中国,湖南,岳阳,Today,0,,,
中国,湖南,邵阳,All,102,0,1,95
中国,湖南,邵阳,Today,0,,,
中国,湖南,常德,All,82,0,0,72
中国,湖南,常德,Today,0,,,
中国,湖南,株洲,All,80,0,0,62
中国,湖南,株洲,Today,0,,,
中国,湖南,娄底,All,76,0,0,60
中国,湖南,娄底,Today,0,,,
中国,湖南,益阳,All,60,0,0,58
中国,湖南,益阳,Today,1,,,
中国,湖南,衡阳,All,48,0,0,44
中国,湖南,衡阳,Today,0,,,
中国,湖南,永州,All,44,0,0,42
中国,湖南,永州,Today,0,,,
中国,湖南,怀化,All,40,0,0,40
中国,湖南,怀化,Today,0,,,
中国,湖南,郴州,All,39,0,0,34
中国,湖南,郴州,Today,0,,,
中国,湖南,湘潭,All,36,0,0,33
中国,湖南,湘潭,Today,0,,,
中国,湖南,湘西自治州,All,8,0,0,8
中国,湖南,湘西自治州,Today,0,,,
中国,湖南,张家界,All,5,0,0,5
中国,湖南,张家界,Today,0,,,
中国,安徽,,All,990,0,6,868
中国,安徽,,Today,0,,,
中国,安徽,合肥,All,174,0,1,143
中国,安徽,合肥,Today,0,,,
中国,安徽,蚌埠,All,160,0,5,144
中国,安徽,蚌埠,Today,0,,,
中国,安徽,阜阳,All,155,0,0,134
中国,安徽,阜阳,Today,0,,,
中国,安徽,亳州,All,108,0,0,101
中国,安徽,亳州,Today,0,,,
中国,安徽,安庆,All,83,0,0,80
中国,安徽,安庆,Today,0,,,
中国,安徽,六安,All,69,0,0,57
中国,安徽,六安,Today,0,,,
中国,安徽,宿州,All,41,0,0,36
中国,安徽,宿州,Today,0,,,
中国,安徽,马鞍山,All,38,0,0,33
中国,安徽,马鞍山,Today,0,,,
中国,安徽,芜湖,All,34,0,0,31
中国,安徽,芜湖,Today,0,,,
中国,安徽,铜陵,All,29,0,0,29
中国,安徽,铜陵,Today,0,,,
中国,安徽,淮南,All,27,0,0,21
中国,安徽,淮南,Today,0,,,
中国,安徽,淮北,All,27,0,0,24
中国,安徽,淮北,Today,0,,,
中国,安徽,池州,All,17,0,0,13
中国,安徽,池州,Today,0,,,
中国,安徽,滁州,All,13,0,0,11
中国,安徽,滁州,Today,0,,,
中国,安徽,黄山,All,9,0,0,7
中国,安徽,黄山,Today,0,,,
中国,安徽,宣城,All,6,0,0,4
中国,安徽,宣城,Today,0,,,
中国,江西,,All,935,0,1,811
中国,江西,,Today,0,,,
中国,江西,南昌,All,230,0,0,202
中国,江西,南昌,Today,0,,,
中国,江西,新余,All,130,0,0,120
中国,江西,新余,Today,0,,,
中国,江西,上饶,All,123,0,0,111
中国,江西,上饶,Today,0,,,
中国,江西,九江,All,118,0,0,94
中国,江西,九江,Today,0,,,
中国,江西,宜春,All,106,0,0,96
中国,江西,赣州,All,76,0,1,70
中国,江西,赣州,Today,0,,,
中国,江西,抚州,All,72,0,0,63
中国,江西,抚州,Today,0,,,
中国,江西,萍乡,All,33,0,0,24
中国,江西,萍乡,Today,0,,,
中国,江西,吉安,All,22,0,0,15
中国,江西,鹰潭,All,18,0,0,12
中国,江西,景德镇,All,6,0,0,3
中国,江西,赣江新区,All,1,0,0,1
中国,山东,,All,756,0,6,417
中国,山东,,Today,0,,,
中国,山东,济宁,All,258,0,0,45
中国,山东,济宁,Today,0,,,
中国,山东,青岛,All,60,0,1,48
中国,山东,青岛,Today,0,,,
中国,山东,临沂,All,49,0,0,45
中国,山东,临沂,Today,0,,,
中国,山东,烟台,All,47,0,0,30
中国,山东,烟台,Today,0,,,
中国,山东,济南,All,47,0,0,26
中国,山东,济南,Today,0,,,
中国,山东,潍坊,All,44,0,0,29
中国,山东,潍坊,Today,0,,,
中国,山东,威海,All,38,0,0,30
中国,山东,威海,Today,0,,,
中国,山东,聊城,All,38,0,0,33
中国,山东,聊城,Today,0,,,
中国,山东,德州,All,37,0,2,18
中国,山东,德州,Today,0,,,
中国,山东,泰安,All,35,0,2,29
中国,山东,泰安,Today,0,,,
中国,山东,淄博,All,30,0,1,21
中国,山东,淄博,Today,0,,,
中国,山东,枣庄,All,24,0,0,22
中国,山东,枣庄,Today,0,,,
中国,山东,菏泽,All,18,0,0,17
中国,山东,菏泽,Today,0,,,
中国,山东,日照,All,16,0,0,12
中国,山东,日照,Today,0,,,
