Country,Province,City,AllOrToday,confirm,suspect,dead,heal
中国,,,All,75997,5206,2239,18413
中国,,,Today,430,,,
中国,湖北,,All,63088,0,2144,11788
中国,湖北,武汉,All,45346,0,1684,6214
中国,湖北,孝感,All,3427,0,94,771
中国,湖北,黄冈,All,2883,0,90,1274
中国,湖北,荆州,All,1560,0,40,531
中国,湖北,鄂州,All,1373,0,39,375
中国,湖北,随州,All,1292,0,28,386
中国,湖北,襄阳,All,1171,0,24,343
中国,湖北,黄石,All,992,0,27,339
中国,湖北,宜昌,All,914,0,28,250
中国,湖北,荆门,All,912,0,37,229
中国,湖北,咸宁,All,834,0,10,313
中国,湖北,十堰,All,656,0,2,209
中国,湖北,仙桃,All,568,0,19,210
中国,湖北,天门,All,492,0,12,165
中国,湖北,恩施州,All,250,0,3,112
中国,湖北,监狱系统,All,220,0,0,0
中国,湖北,潜江,All,188,0,7,57
中国,湖北,神农架,All,10,0,0,10
中国,广东,,All,1333,0,5,687
中国,广东,深圳,All,416,0,2,222
中国,广东,广州,All,339,0,0,173
中国,广东,珠海,All,98,0,1,49
中国,广东,东莞,All,93,0,1,27
中国,广东,佛山,All,84,0,0,33
中国,广东,中山,All,66,0,0,43
中国,广东,惠州,All,62,0,0,41
中国,广东,汕头,All,25,0,0,20
中国,广东,江门,All,23,0,0,9
中国,广东,湛江,All,22,0,0,12
中国,广东,肇庆,All,18,0,1,8
中国,广东,梅州,All,16,0,0,10
中国,广东,茂名,All,14,0,0,6
中国,广东,阳江,All,13,0,0,10
中国,广东,清远,All,12,0,0,9
中国,广东,韶关,All,10,0,0,5
中国,广东,揭阳,All,8,0,0,4
中国,广东,汕尾,All,5,0,0,2
中国,广东,潮州,All,5,0,0,3
中国,广东,河源,All,4,0,0,1
中国,广东,地区待确认,All,0,0,0,0
中国,河南,,All,1267,0,19,717
中国,河南,信阳,All,270,0,3,28
中国,河南,郑州,All,157,0,1,36
中国,河南,南阳,All,155,0,2,28
中国,河南,驻马店,All,139,0,0,25
中国,河南,商丘,All,91,0,1,9
中国,河南,周口,All,76,0,0,16
中国,河南,平顶山,All,58,0,1,13
中国,河南,新乡,All,57,0,1,6
中国,河南,安阳,All,53,0,0,10
中国,河南,许昌,All,39,0,0,2
中国,河南,漯河,All,35,0,0,6
中国,河南,焦作,All,32,0,1,1
中国,河南,洛阳,All,31,0,0,2
中国,河南,开封,All,26,0,0,1
中国,河南,鹤壁,All,19,0,0,3
中国,河南,濮阳,All,17,0,0,1
中国,河南,三门峡,All,7,0,0,3
中国,河南,济源示范区,All,5,0,0,0
中国,河南,地区待确认,All,0,0,9,527
中国,浙江,,All,1203,0,1,647
中国,浙江,温州,All,504,0,1,245
中国,浙江,杭州,All,169,0,0,111
中国,浙江,宁波,All,157,0,0,101
中国,浙江,台州,All,146,0,0,77
中国,浙江,金华,All,55,0,0,36
中国,浙江,嘉兴,All,45,0,0,22
中国,浙江,绍兴,All,42,0,0,20
中国,浙江,省十里丰监狱,All,34,0,0,0
中国,浙江,丽水,All,17,0,0,14
中国,浙江,衢州,All,14,0,0,10
中国,浙江,湖州,All,10,0,0,6
中国,浙江,舟山,All,10,0,0,5
中国,湖南,,All,1011,0,4,638
中国,湖南,长沙,All,242,0,2,125
中国,湖南,岳阳,All,156,0,1,72
中国,湖南,邵阳,All,102,0,1,78
中国,湖南,常德,All,80,0,0,52
中国,湖南,株洲,All,78,0,0,46
中国,湖南,娄底,All,76,0,0,54
中国,湖南,益阳,All,59,0,0,48
中国,湖南,衡阳,All,48,0,0,37
中国,湖南,永州,All,43,0,0,30
中国,湖南,怀化,All,40,0,0,38
中国,湖南,郴州,All,39,0,0,29
中国,湖南,湘潭,All,35,0,0,17
中国,湖南,湘西自治州,All,8,0,0,7
中国,湖南,张家界,All,5,0,0,5
中国,安徽,,All,988,0,6,567
中国,安徽,合肥,All,174,0,1,97
中国,安徽,蚌埠,All,160,0,5,81
中国,安徽,阜阳,All,155,0,0,90
中国,安徽,亳州,All,108,0,0,70
中国,安徽,安庆,All,83,0,0,55
中国,安徽,六安,All,69,0,0,39
中国,安徽,宿州,All,41,0,0,23
中国,安徽,马鞍山,All,37,0,0,17
中国,安徽,芜湖,All,33,0,0,25
中国,安徽,铜陵,All,29,0,0,13
中国,安徽,淮北,All,27,0,0,15
中国,安徽,淮南,All,27,0,0,14
中国,安徽,池州,All,17,0,0,10
中国,安徽,滁州,All,13,0,0,8
中国,安徽,黄山,All,9,0,0,6
中国,安徽,宣城,All,6,0,0,4
中国,江西,,All,934,0,1,489
中国,江西,南昌,All,229,0,0,145
中国,江西,新余,All,130,0,0,80
中国,江西,上饶,All,123,0,0,64
中国,江西,九江,All,118,0,0,47
中国,江西,宜春,All,106,0,0,53
中国,江西,赣州,All,76,0,1,34
中国,江西,抚州,All,72,0,0,37
中国,江西,萍乡,All,33,0,0,11
中国,江西,吉安,All,22,0,0,11
中国,江西,鹰潭,All,18,0,0,4
中国,江西,景德镇,All,6,0,0,3
中国,江西,赣江新区,All,1,0,0,0
中国,山东,,All,749,0,4,274
中国,山东,济宁,All,253,0,0,29
中国,山东,青岛,All,59,0,1,34
中国,山东,临沂,All,49,0,0,44
中国,山东,烟台,All,47,0,0,17
中国,山东,济南,All,47,0,0,18
