Country,Province,City,AllOrToday,confirm,suspect,dead,heal
中国,重庆,铜梁区,All,8,0,0,0
中国,重庆,荣昌区,All,8,0,0,0
中国,重庆,南岸区,All,8,0,0,0
中国,重庆,巫山县,All,8,0,0,4
中国,重庆,璧山区,All,8,0,0,0
中国,重庆,大渡口区,All,7,0,0,1
中国,重庆,永川区,All,5,0,0,1
中国,重庆,江津区,All,4,0,0,1
中国,重庆,高新区,All,4,0,0,0
中国,重庆,梁平区,All,4,0,0,1
中国,重庆,涪陵区,All,3,0,0,0
中国,重庆,巴南区,All,3,0,0,1
中国,重庆,彭水县,All,2,0,0,0
中国,重庆,城口县,All,2,0,0,1
中国,重庆,沙坪坝区,All,2,0,0,0
中国,重庆,黔江区,All,2,0,0,0
中国,重庆,酉阳县,All,1,0,0,0
中国,重庆,万盛经开区,All,1,0,0,0
中国,重庆,武隆区,All,1,0,0,0
中国,重庆,秀山县,All,1,0,0,1
中国,山东,,All,444,0,1,61
中国,山东,青岛,All,49,0,1,10
中国,山东,济南,All,43,0,0,7
中国,山东,临沂,All,40,0,0,6
中国,山东,济宁,All,39,0,0,8
中国,山东,烟台,All,37,0,0,2
中国,山东,潍坊,All,36,0,0,1
中国,山东,威海,All,34,0,0,8
中国,山东,聊城,All,33,0,0,2
中国,山东,德州,All,30,0,0,4
中国,山东,泰安,All,24,0,0,1
中国,山东,枣庄,All,21,0,0,1
中国,山东,淄博,All,16,0,0,1
中国,山东,菏泽,All,16,0,0,4
中国,山东,日照,All,15,0,0,2
中国,山东,滨州,All,11,0,0,4
中国,四川,,All,386,0,1,71
中国,四川,成都,All,120,0,1,35
中国,四川,南充,All,32,0,0,2
中国,四川,广安,All,28,0,0,3
中国,四川,达州,All,25,0,0,5
中国,四川,巴中,All,21,0,0,1
中国,四川,绵阳,All,20,0,0,4
中国,四川,内江,All,17,0,0,2
中国,四川,甘孜,All,17,0,0,0
中国,四川,德阳,All,16,0,0,0
中国,四川,泸州,All,16,0,0,2
中国,四川,攀枝花,All,13,0,0,5
中国,四川,宜宾,All,9,0,0,3
中国,四川,自贡,All,9,0,0,2
中国,四川,凉山,All,9,0,0,1
