confirm,suspect,dead,heal,date
77,27,0,0,01.20
149,53,3,0,01.21
131,257,8,0,01.22
259,680,8,6,01.23
444,1118,16,3,01.24
688,1309,15,11,01.25
769,3806,24,2,01.26
1771,2077,26,9,01.27
1459,3248,26,43,01.28
1737,4148,38,21,01.29
1982,4812,43,47,01.30
2102,5019,46,72,01.31
2590,4562,45,85,02.01
2829,5173,57,147,02.02
3235,5072,64,157,02.03
3893,3971,65,262,02.04
3697,5328,73,261,02.05
