Country,Province,City,AllOrToday,confirm,suspect,dead,heal
中国,,,All,74290,5248,2009,14496
中国,,,Today,11,,,
中国,湖北,,All,61682,0,1921,9128
中国,湖北,武汉,All,44412,0,1497,4895
中国,湖北,孝感,All,3344,0,82,572
中国,湖北,黄冈,All,2844,0,85,1059
中国,湖北,荆州,All,1541,0,38,409
中国,湖北,鄂州,All,1343,0,37,301
中国,湖北,随州,All,1280,0,26,254
中国,湖北,襄阳,All,1165,0,22,230
中国,湖北,黄石,All,983,0,25,262
中国,湖北,宜昌,All,907,0,25,208
中国,湖北,荆门,All,901,0,33,181
中国,湖北,咸宁,All,832,0,10,225
中国,湖北,十堰,All,638,0,2,164
中国,湖北,仙桃,All,562,0,19,149
中国,湖北,天门,All,486,0,11,73
中国,湖北,恩施州,All,249,0,3,96
中国,湖北,潜江,All,185,0,6,40
中国,湖北,神农架,All,10,0,0,10
中国,广东,,All,1331,0,5,571
中国,广东,深圳,All,416,0,2,163
中国,广东,广州,All,339,0,0,148
中国,广东,珠海,All,98,0,1,43
中国,广东,东莞,All,91,0,1,24
中国,广东,佛山,All,84,0,0,27
中国,广东,中山,All,66,0,0,40
中国,广东,惠州,All,62,0,0,36
中国,广东,汕头,All,25,0,0,15
中国,广东,江门,All,23,0,0,8
中国,广东,湛江,All,22,0,0,11
中国,广东,肇庆,All,18,0,1,9
中国,广东,梅州,All,16,0,0,8
中国,广东,茂名,All,14,0,0,6
中国,广东,阳江,All,13,0,0,9
中国,广东,清远,All,12,0,0,9
中国,广东,韶关,All,10,0,0,4
中国,广东,揭阳,All,8,0,0,4
中国,广东,汕尾,All,5,0,0,2
中国,广东,潮州,All,5,0,0,4
中国,广东,河源,All,4,0,0,1
中国,广东,地区待确认,All,0,0,0,0
中国,河南,,All,1262,0,19,552
中国,河南,信阳,All,268,0,3,28
中国,河南,郑州,All,156,0,1,36
中国,河南,南阳,All,155,0,2,28
中国,河南,驻马店,All,139,0,0,25
中国,河南,商丘,All,91,0,1,9
中国,河南,周口,All,76,0,0,16
中国,河南,平顶山,All,58,0,1,13
中国,河南,新乡,All,57,0,1,6
中国,河南,安阳,All,52,0,0,10
中国,河南,许昌,All,39,0,0,2
中国,河南,漯河,All,34,0,0,6
中国,河南,焦作,All,32,0,1,1
中国,河南,洛阳,All,31,0,0,2
中国,河南,开封,All,26,0,0,1
中国,河南,鹤壁,All,19,0,0,3
中国,河南,濮阳,All,17,0,0,1
中国,河南,三门峡,All,7,0,0,3
中国,河南,济源示范区,All,5,0,0,0
中国,河南,地区待确认,All,0,0,9,362
中国,浙江,,All,1173,0,0,544
中国,浙江,温州,All,504,0,0,208
中国,浙江,杭州,All,168,0,0,98
中国,浙江,宁波,All,156,0,0,73
中国,浙江,台州,All,146,0,0,69
中国,浙江,金华,All,55,0,0,30
中国,浙江,嘉兴,All,44,0,0,15
中国,浙江,绍兴,All,42,0,0,20
中国,浙江,衢州,All,21,0,0,10
中国,浙江,丽水,All,17,0,0,11
中国,浙江,湖州,All,10,0,0,5
中国,浙江,舟山,All,10,0,0,5
中国,湖南,,All,1008,0,4,542
中国,湖南,长沙,All,241,0,2,98
中国,湖南,岳阳,All,155,0,1,64
中国,湖南,邵阳,All,102,0,1,70
中国,湖南,常德,All,79,0,0,43
中国,湖南,株洲,All,78,0,0,37
中国,湖南,娄底,All,76,0,0,47
中国,湖南,益阳,All,59,0,0,31
中国,湖南,衡阳,All,48,0,0,29
中国,湖南,永州,All,43,0,0,30
中国,湖南,怀化,All,40,0,0,37
中国,湖南,郴州,All,39,0,0,27
中国,湖南,湘潭,All,35,0,0,17
中国,湖南,湘西自治州,All,8,0,0,7
中国,湖南,张家界,All,5,0,0,5
中国,安徽,,All,986,0,6,424
中国,安徽,合肥,All,173,0,1,75
中国,安徽,蚌埠,All,159,0,5,40
中国,安徽,阜阳,All,155,0,0,64
中国,安徽,亳州,All,108,0,0,58
中国,安徽,安庆,All,83,0,0,44
中国,安徽,六安,All,69,0,0,30
中国,安徽,宿州,All,41,0,0,20
中国,安徽,马鞍山,All,37,0,0,15
中国,安徽,芜湖,All,33,0,0,17
中国,安徽,铜陵,All,29,0,0,13
中国,安徽,淮北,All,27,0,0,13
中国,安徽,淮南,All,27,0,0,12
中国,安徽,池州,All,17,0,0,6
中国,安徽,滁州,All,13,0,0,7
中国,安徽,黄山,All,9,0,0,6
中国,安徽,宣城,All,6,0,0,4
中国,江西,,All,934,0,1,362
中国,江西,南昌,All,230,0,0,114
中国,江西,新余,All,129,0,0,58
