Country,Province,City,AllOrToday,confirm,suspect,dead,heal
中国,,,All,40265,23589,909,3471
中国,,,Today,30,0,0,0
中国,湖北,,All,29631,0,871,1795
中国,湖北,武汉,All,16902,0,681,1044
中国,湖北,孝感,All,2541,0,33,81
中国,湖北,黄冈,All,2252,0,45,189
中国,湖北,随州,All,1049,0,10,23
中国,湖北,荆州,All,1045,0,15,46
中国,湖北,襄阳,All,1019,0,9,42
中国,湖北,黄石,All,805,0,3,67
中国,湖北,宜昌,All,749,0,8,43
中国,湖北,鄂州,All,725,0,24,48
中国,湖北,荆门,All,641,0,20,63
中国,湖北,咸宁,All,507,0,4,44
中国,湖北,十堰,All,481,0,0,46
中国,湖北,仙桃,All,416,0,7,16
中国,湖北,天门,All,217,0,10,10
中国,湖北,恩施州,All,187,0,0,24
中国,湖北,潜江,All,85,0,2,3
中国,湖北,神农架,All,10,0,0,6
中国,湖北,地区待确认,All,0,0,0,0
中国,广东,,All,1159,0,1,165
中国,广东,深圳,All,369,0,0,56
中国,广东,广州,All,314,0,0,43
中国,广东,珠海,All,85,0,0,4
中国,广东,佛山,All,70,0,0,4
中国,广东,东莞,All,60,0,0,3
中国,广东,中山,All,56,0,0,14
中国,广东,惠州,All,52,0,0,4
中国,广东,汕头,All,25,0,0,6
中国,广东,湛江,All,21,0,0,7
中国,广东,江门,All,20,0,0,2
中国,广东,肇庆,All,15,0,1,4
中国,广东,梅州,All,13,0,0,4
中国,广东,阳江,All,13,0,0,1
中国,广东,茂名,All,10,0,0,1
中国,广东,清远,All,10,0,0,5
中国,广东,揭阳,All,7,0,0,1
中国,广东,韶关,All,6,0,0,3
中国,广东,潮州,All,5,0,0,0
中国,广东,汕尾,All,5,0,0,1
中国,广东,河源,All,3,0,0,1
中国,广东,地区待确认,All,0,0,0,1
中国,浙江,,All,1092,0,0,239
中国,浙江,温州,All,464,0,0,99
中国,浙江,杭州,All,155,0,0,41
中国,浙江,宁波,All,149,0,0,15
中国,浙江,台州,All,141,0,0,35
中国,浙江,金华,All,53,0,0,16
中国,浙江,绍兴,All,41,0,0,10
中国,浙江,嘉兴,All,40,0,0,5
中国,浙江,丽水,All,17,0,0,5
中国,浙江,衢州,All,15,0,0,5
中国,浙江,湖州,All,10,0,0,3
中国,浙江,舟山,All,7,0,0,5
中国,河南,,All,1073,0,6,190
中国,河南,信阳,All,220,0,0,28
中国,河南,南阳,All,134,0,2,28
中国,河南,郑州,All,130,0,0,36
中国,河南,驻马店,All,123,0,0,25
中国,河南,商丘,All,83,0,0,9
中国,河南,周口,All,65,0,0,14
中国,河南,平顶山,All,52,0,1,13
中国,河南,新乡,All,46,0,1,6
中国,河南,安阳,All,45,0,0,10
中国,河南,许昌,All,31,0,0,2
中国,河南,漯河,All,30,0,0,6
中国,河南,洛阳,All,27,0,0,2
中国,河南,焦作,All,25,0,1,1
中国,河南,开封,All,24,0,0,1
中国,河南,鹤壁,All,17,0,0,3
中国,河南,濮阳,All,10,0,0,1
中国,河南,三门峡,All,7,0,0,3
中国,河南,济源示范区,All,4,0,0,0
中国,河南,地区待确认,All,0,0,1,2
中国,湖南,,All,879,0,1,208
中国,湖南,长沙,All,213,0,0,39
中国,湖南,岳阳,All,124,0,1,21
中国,湖南,邵阳,All,89,0,0,22
中国,湖南,常德,All,72,0,0,15
中国,湖南,娄底,All,66,0,0,8
中国,湖南,株洲,All,61,0,0,10
中国,湖南,益阳,All,53,0,0,16
中国,湖南,衡阳,All,45,0,0,16
中国,湖南,永州,All,41,0,0,13
中国,湖南,怀化,All,39,0,0,15
中国,湖南,郴州,All,32,0,0,13
中国,湖南,湘潭,All,31,0,0,11
中国,湖南,湘西自治州,All,8,0,0,6
中国,湖南,张家界,All,5,0,0,3
中国,安徽,,All,830,0,3,89
中国,安徽,合肥,All,147,0,0,15
中国,安徽,蚌埠,All,126,0,3,2
中国,安徽,阜阳,All,125,0,0,13
中国,安徽,亳州,All,92,0,0,7
中国,安徽,安庆,All,78,0,0,15
中国,安徽,六安,All,57,0,0,3
中国,安徽,宿州,All,31,0,0,4
中国,安徽,马鞍山,All,31,0,0,2
中国,安徽,芜湖,All,30,0,0,3
中国,安徽,铜陵,All,25,0,0,7
中国,安徽,淮北,All,23,0,0,5
中国,安徽,淮南,All,23,0,0,4
中国,安徽,池州,All,15,0,0,3
中国,安徽,滁州,All,12,0,0,3
中国,安徽,黄山,All,9,0,0,1
中国,安徽,宣城,All,6,0,0,2
中国,江西,,All,771,0,1,102
中国,江西,南昌,All,189,0,0,35
中国,江西,新余,All,105,0,0,18
中国,江西,上饶,All,103,0,0,12
中国,江西,九江,All,101,0,0,7
中国,江西,宜春,All,77,0,0,10
中国,江西,赣州,All,71,0,1,6
中国,江西,抚州,All,64,0,0,9
中国,江西,萍乡,All,25,0,0,1
中国,江西,吉安,All,18,0,0,2
中国,江西,鹰潭,All,12,0,0,1
中国,江西,景德镇,All,5,0,0,1
中国,江西,赣江新区,All,1,0,0,0
中国,江苏,,All,492,0,0,80
中国,江苏,南京,All,78,0,0,22
中国,江苏,苏州,All,77,0,0,13
中国,江苏,徐州,All,60,0,0,8
中国,江苏,淮安,All,46,0,0,5
中国,江苏,无锡,All,41,0,0,3
中国,江苏,连云港,All,35,0,0,4
中国,江苏,南通,All,33,0,0,5
中国,江苏,泰州,All,31,0,0,5
中国,江苏,常州,All,31,0,0,6
中国,江苏,扬州,All,18,0,0,2
中国,江苏,盐城,All,18,0,0,3
中国,江苏,镇江,All,12,0,0,1
中国,江苏,宿迁,All,12,0,0,3
中国,重庆,,All,473,0,2,66
中国,重庆,万州区,All,98,0,1,11
中国,重庆,江北区,All,24,0,0,1
中国,重庆,垫江县,All,20,0,0,1
中国,重庆,云阳县,All,20,0,0,10
中国,重庆,九龙坡区,All,20,0,1,1
中国,重庆,渝中区,All,20,0,0,1
中国,重庆,忠县,All,18,0,0,6
中国,重庆,合川区,All,18,0,0,2
中国,重庆,开州区,All,18,0,0,6
中国,重庆,两江新区,All,16,0,0,0
中国,重庆,綦江区,All,15,0,0,0
中国,重庆,长寿区,All,15,0,0,3
中国,重庆,奉节县,All,14,0,0,1
中国,重庆,大足区,All,13,0,0,0
中国,重庆,渝北区,All,13,0,0,2
中国,重庆,潼南区,All,13,0,0,0
中国,重庆,巫溪县,All,12,0,0,2
中国,重庆,石柱县,All,12,0,0,2
中国,重庆,巫山县,All,9,0,0,4
中国,重庆,丰都县,All,9,0,0,1
中国,重庆,铜梁区,All,8,0,0,0
中国,重庆,荣昌区,All,8,0,0,0
中国,重庆,璧山区,All,8,0,0,0
中国,重庆,南岸区,All,8,0,0,0
中国,重庆,大渡口区,All,7,0,0,1
中国,重庆,巴南区,All,5,0,0,1
中国,重庆,永川区,All,5,0,0,1
中国,重庆,江津区,All,4,0,0,1
中国,重庆,高新区,All,4,0,0,0
中国,重庆,梁平区,All,4,0,0,1
中国,重庆,涪陵区,All,3,0,0,0
中国,重庆,沙坪坝区,All,2,0,0,0
中国,重庆,黔江区,All,2,0,0,2
中国,重庆,城口县,All,2,0,0,1
中国,重庆,彭水县,All,2,0,0,0
中国,重庆,秀山县,All,1,0,0,1
