date,confirm,suspect,dead,heal
01.20,77,27,0,0
01.21,149,53,3,0
01.22,131,257,8,0
01.23,259,680,8,6
01.24,444,1118,16,3
01.25,688,1309,15,11
01.26,769,3806,24,2
01.27,1771,2077,26,9
01.28,1459,3248,26,43
01.29,1737,4148,38,21
01.30,1982,4812,43,47
01.31,2102,5019,46,72
02.01,2590,4562,45,85
02.02,2829,5173,57,147
02.03,3235,5072,64,157
02.04,3893,3971,65,262
