Country,Province,City,AllOrToday,confirm,suspect,dead,heal
中国,,,All,42750,21675,1017,4060
中国,,,Today,42,0,0,0
中国,湖北,,All,31728,0,974,2222
中国,湖北,武汉,All,18454,0,748,1206
中国,湖北,孝感,All,2642,0,41,139
中国,湖北,黄冈,All,2332,0,52,279
中国,湖北,随州,All,1095,0,12,26
中国,湖北,荆州,All,1075,0,17,56
中国,湖北,襄阳,All,1063,0,12,49
中国,湖北,黄石,All,835,0,5,82
中国,湖北,鄂州,All,790,0,26,61
中国,湖北,宜昌,All,772,0,8,52
中国,湖北,荆门,All,656,0,21,69
中国,湖北,咸宁,All,515,0,5,51
中国,湖北,十堰,All,505,0,1,59
中国,湖北,仙桃,All,438,0,11,41
中国,湖北,天门,All,261,0,10,12
中国,湖北,恩施州,All,195,0,2,31
中国,湖北,潜江,All,90,0,3,3
中国,湖北,神农架,All,10,0,0,6
中国,湖北,地区待确认,All,0,0,0,0
中国,广东,,All,1177,0,1,181
中国,广东,深圳,All,375,0,0,56
中国,广东,广州,All,317,0,0,49
中国,广东,珠海,All,86,0,0,4
中国,广东,佛山,All,70,0,0,4
中国,广东,东莞,All,62,0,0,3
中国,广东,中山,All,58,0,0,16
中国,广东,惠州,All,53,0,0,4
中国,广东,汕头,All,25,0,0,6
中国,广东,湛江,All,21,0,0,7
中国,广东,江门,All,20,0,0,2
中国,广东,肇庆,All,15,0,1,4
中国,广东,梅州,All,13,0,0,4
中国,广东,阳江,All,13,0,0,1
中国,广东,茂名,All,11,0,0,1
中国,广东,清远,All,10,0,0,5
中国,广东,揭阳,All,8,0,0,1
中国,广东,韶关,All,7,0,0,3
中国,广东,汕尾,All,5,0,0,1
中国,广东,潮州,All,5,0,0,0
中国,广东,河源,All,3,0,0,1
中国,广东,地区待确认,All,0,0,0,9
中国,浙江,,All,1117,0,0,250
中国,浙江,温州,All,474,0,0,99
中国,浙江,杭州,All,157,0,0,47
中国,浙江,宁波,All,151,0,0,18
中国,浙江,台州,All,143,0,0,35
中国,浙江,金华,All,53,0,0,16
中国,浙江,绍兴,All,41,0,0,12
中国,浙江,嘉兴,All,40,0,0,5
中国,浙江,衢州,All,21,0,0,5
中国,浙江,丽水,All,17,0,0,5
中国,浙江,舟山,All,10,0,0,5
中国,浙江,湖州,All,10,0,0,3
中国,河南,,All,1105,0,7,198
中国,河南,信阳,All,228,0,0,28
中国,河南,南阳,All,136,0,2,28
中国,河南,郑州,All,132,0,0,36
中国,河南,驻马店,All,126,0,0,25
中国,河南,商丘,All,86,0,0,9
中国,河南,周口,All,65,0,0,16
中国,河南,平顶山,All,54,0,1,13
中国,河南,新乡,All,48,0,1,6
中国,河南,安阳,All,46,0,0,10
中国,河南,许昌,All,32,0,0,2
中国,河南,漯河,All,31,0,0,6
中国,河南,洛阳,All,28,0,0,2
中国,河南,焦作,All,28,0,1,1
中国,河南,开封,All,25,0,0,1
中国,河南,鹤壁,All,18,0,0,3
中国,河南,濮阳,All,11,0,0,1
中国,河南,三门峡,All,7,0,0,3
中国,河南,济源示范区,All,4,0,0,0
中国,河南,地区待确认,All,0,0,2,8
中国,湖南,,All,912,0,1,213
中国,湖南,长沙,All,219,0,0,39
中国,湖南,岳阳,All,134,0,1,21
中国,湖南,邵阳,All,91,0,0,22
中国,湖南,常德,All,73,0,0,15
中国,湖南,娄底,All,69,0,0,12
中国,湖南,株洲,All,68,0,0,11
中国,湖南,益阳,All,54,0,0,16
中国,湖南,衡阳,All,45,0,0,16
中国,湖南,永州,All,42,0,0,13
中国,湖南,怀化,All,39,0,0,15
中国,湖南,郴州,All,33,0,0,13
中国,湖南,湘潭,All,32,0,0,11
中国,湖南,湘西自治州,All,8,0,0,6
中国,湖南,张家界,All,5,0,0,3
中国,安徽,,All,860,0,4,108
中国,安徽,合肥,All,150,0,1,22
中国,安徽,蚌埠,All,134,0,3,2
中国,安徽,阜阳,All,132,0,0,17
中国,安徽,亳州,All,92,0,0,7
中国,安徽,安庆,All,80,0,0,15
中国,安徽,六安,All,59,0,0,3
中国,安徽,宿州,All,33,0,0,4
中国,安徽,马鞍山,All,32,0,0,4
中国,安徽,芜湖,All,31,0,0,4
中国,安徽,铜陵,All,27,0,0,7
中国,安徽,淮南,All,24,0,0,6
中国,安徽,淮北,All,24,0,0,5
中国,安徽,池州,All,15,0,0,3
中国,安徽,滁州,All,12,0,0,4
中国,安徽,黄山,All,9,0,0,1
中国,安徽,宣城,All,6,0,0,4
中国,江西,,All,804,0,1,127
中国,江西,南昌,All,195,0,0,46
中国,江西,上饶,All,111,0,0,13
中国,江西,新余,All,110,0,0,22
中国,江西,九江,All,101,0,0,13
中国,江西,宜春,All,83,0,0,10
中国,江西,赣州,All,72,0,1,7
中国,江西,抚州,All,67,0,0,9
