Country,Province,City,AllOrToday,confirm,suspect,dead,heal
中国,,,All,44766,16067,1117,4809
中国,,,Today,2058,0,0,0
中国,湖北,,All,33366,0,1068,2639
中国,湖北,,Today,1638,0,0,0
中国,湖北,武汉,All,19558,0,820,1377
中国,湖北,武汉,Today,1104,0,0,0
中国,湖北,孝感,All,2751,0,45,179
中国,湖北,孝感,Today,109,0,0,0
中国,湖北,黄冈,All,2398,0,54,338
中国,湖北,黄冈,Today,66,0,0,0
中国,湖北,随州,All,1129,0,12,51
中国,湖北,随州,Today,34,0,0,0
中国,湖北,荆州,All,1110,0,21,80
中国,湖北,荆州,Today,35,0,0,0
中国,湖北,襄阳,All,1088,0,12,60
中国,湖北,襄阳,Today,25,0,0,0
中国,湖北,黄石,All,874,0,6,96
中国,湖北,黄石,Today,39,0,0,0
中国,湖北,鄂州,All,861,0,28,72
中国,湖北,鄂州,Today,71,0,0,0
中国,湖北,宜昌,All,784,0,8,62
中国,湖北,宜昌,Today,12,0,0,0
中国,湖北,荆门,All,696,0,24,81
中国,湖北,荆门,Today,40,0,0,0
中国,湖北,十堰,All,536,0,1,70
中国,湖北,十堰,Today,31,0,0,0
中国,湖北,咸宁,All,525,0,6,65
中国,湖北,咸宁,Today,10,0,0,0
中国,湖北,仙桃,All,460,0,13,43
中国,湖北,仙桃,Today,22,0,0,0
中国,湖北,天门,All,293,0,10,12
中国,湖北,天门,Today,32,0,0,0
中国,湖北,恩施州,All,203,0,3,38
中国,湖北,恩施州,Today,8,0,0,0
中国,湖北,潜江,All,90,0,5,8
中国,湖北,潜江,Today,0,0,0,0
中国,湖北,神农架,All,10,0,0,7
中国,湖北,神农架,Today,0,0,0,0
中国,湖北,地区待确认,All,0,0,0,0
中国,广东,,All,1219,0,1,241
中国,广东,,Today,42,0,0,0
中国,广东,深圳,All,386,0,0,66
中国,广东,深圳,Today,11,0,0,0
中国,广东,广州,All,323,0,0,70
中国,广东,广州,Today,6,0,0,0
中国,广东,珠海,All,87,0,0,17
中国,广东,珠海,Today,1,0,0,0
中国,广东,佛山,All,78,0,0,15
中国,广东,佛山,Today,8,0,0,0
中国,广东,东莞,All,67,0,0,7
中国,广东,东莞,Today,5,0,0,0
中国,广东,中山,All,62,0,0,16
中国,广东,中山,Today,4,0,0,0
中国,广东,惠州,All,54,0,0,4
中国,广东,惠州,Today,1,0,0,0
中国,广东,汕头,All,25,0,0,6
中国,广东,汕头,Today,0,0,0,0
中国,广东,江门,All,21,0,0,2
中国,广东,江门,Today,1,0,0,0
中国,广东,湛江,All,21,0,0,9
中国,广东,湛江,Today,0,0,0,0
中国,广东,肇庆,All,16,0,1,7
中国,广东,肇庆,Today,1,0,0,0
中国,广东,梅州,All,13,0,0,4
中国,广东,梅州,Today,0,0,0,0
中国,广东,茂名,All,13,0,0,1
中国,广东,茂名,Today,2,0,0,0
中国,广东,阳江,All,13,0,0,1
中国,广东,阳江,Today,0,0,0,0
中国,广东,清远,All,12,0,0,5
中国,广东,清远,Today,2,0,0,0
中国,广东,揭阳,All,8,0,0,3
中国,广东,揭阳,Today,0,0,0,0
中国,广东,韶关,All,7,0,0,3
中国,广东,韶关,Today,0,0,0,0
中国,广东,潮州,All,5,0,0,0
中国,广东,潮州,Today,0,0,0,0
中国,广东,汕尾,All,5,0,0,1
中国,广东,汕尾,Today,0,0,0,0
中国,广东,河源,All,3,0,0,1
中国,广东,河源,Today,0,0,0,0
中国,广东,地区待确认,All,0,0,0,3
中国,广东,地区待确认,Today,0,0,0,0
中国,河南,,All,1135,0,8,231
中国,河南,,Today,30,0,0,0
中国,河南,信阳,All,231,0,0,28
中国,河南,信阳,Today,3,0,0,0
中国,河南,南阳,All,138,0,2,28
中国,河南,南阳,Today,2,0,0,0
中国,河南,郑州,All,137,0,0,36
中国,河南,郑州,Today,5,0,0,0
中国,河南,驻马店,All,128,0,0,25
中国,河南,驻马店,Today,2,0,0,0
中国,河南,商丘,All,86,0,0,9
中国,河南,周口,All,66,0,0,16
中国,河南,周口,Today,1,0,0,0
中国,河南,平顶山,All,55,0,1,13
中国,河南,平顶山,Today,1,0,0,0
中国,河南,新乡,All,53,0,1,6
中国,河南,新乡,Today,5,0,0,0
中国,河南,安阳,All,49,0,0,10
中国,河南,安阳,Today,3,0,0,0
中国,河南,许昌,All,34,0,0,2
中国,河南,许昌,Today,2,0,0,0
中国,河南,漯河,All,33,0,0,6
中国,河南,漯河,Today,2,0,0,0
中国,河南,洛阳,All,29,0,0,2
中国,河南,洛阳,Today,1,0,0,0
中国,河南,焦作,All,28,0,1,1
中国,河南,开封,All,25,0,0,1
中国,河南,鹤壁,All,19,0,0,3
中国,河南,鹤壁,Today,1,0,0,0
中国,河南,濮阳,All,13,0,0,1
中国,河南,濮阳,Today,2,0,0,0
中国,河南,三门峡,All,7,0,0,3
中国,河南,济源示范区,All,4,0,0,0
中国,河南,地区待确认,All,0,0,3,41
中国,河南,地区待确认,Today,0,0,0,0
中国,浙江,,All,1131,0,0,279
中国,浙江,,Today,14,0,0,0
中国,浙江,温州,All,481,0,0,107
中国,浙江,温州,Today,7,0,0,0
中国,浙江,杭州,All,159,0,0,51
中国,浙江,杭州,Today,2,0,0,0
中国,浙江,宁波,All,153,0,0,24
中国,浙江,宁波,Today,2,0,0,0
中国,浙江,台州,All,143,0,0,38
中国,浙江,台州,Today,0,0,0,0
中国,浙江,金华,All,54,0,0,19
中国,浙江,金华,Today,1,0,0,0
