date,hubei,notHubei,country
02.09,"{'dead': 871, 'heal': 1795, 'nowConfirm': 26965, 'deadRate': '2.94', 'healRate': '6.06'}","{'dead': 38, 'heal': 1488, 'nowConfirm': 9078, 'deadRate': '0.36', 'healRate': '14.03'}","{'dead': 909, 'heal': 3283, 'nowConfirm': 36043, 'deadRate': '2.26', 'healRate': '8.16'}"
02.10,"{'dead': 974, 'heal': 2222, 'nowConfirm': 28532, 'deadRate': '3.07', 'healRate': '7.00'}","{'dead': 43, 'heal': 1776, 'nowConfirm': 9161, 'deadRate': '0.39', 'healRate': '16.17'}","{'dead': 1017, 'heal': 3998, 'nowConfirm': 37693, 'deadRate': '2.38', 'healRate': '9.36'}"
02.11,"{'dead': 1068, 'heal': 2639, 'nowConfirm': 29659, 'deadRate': '3.20', 'healRate': '7.91'}","{'dead': 46, 'heal': 2103, 'nowConfirm': 9215, 'deadRate': '0.40', 'healRate': '18.51'}","{'dead': 1114, 'heal': 4742, 'nowConfirm': 38874, 'deadRate': '2.49', 'healRate': '10.60'}"
02.12,"{'dead': 1310, 'heal': 3441, 'nowConfirm': 43455, 'deadRate': '2.72', 'healRate': '7.14'}","{'dead': 58, 'heal': 2474, 'nowConfirm': 9144, 'deadRate': '0.50', 'healRate': '21.19'}","{'dead': 1368, 'heal': 5915, 'nowConfirm': 52599, 'deadRate': '2.28', 'healRate': '9.88'}"
02.13,"{'dead': 1318, 'heal': 4131, 'nowConfirm': 46537, 'deadRate': '2.54', 'healRate': '7.95'}","{'dead': 63, 'heal': 2597, 'nowConfirm': 9286, 'deadRate': '0.53', 'healRate': '21.74'}","{'dead': 1381, 'heal': 6728, 'nowConfirm': 55823, 'deadRate': '2.16', 'healRate': '10.52'}"
02.14,"{'dead': 1457, 'heal': 4774, 'nowConfirm': 48175, 'deadRate': '2.68', 'healRate': '8.77'}","{'dead': 67, 'heal': 3327, 'nowConfirm': 8776, 'deadRate': '0.55', 'healRate': '27.34'}","{'dead': 1524, 'heal': 8101, 'nowConfirm': 56951, 'deadRate': '2.29', 'healRate': '12.17'}"
02.15,"{'dead': 1596, 'heal': 5623, 'nowConfirm': 49030, 'deadRate': '2.84', 'healRate': '10.00'}","{'dead': 70, 'heal': 3802, 'nowConfirm': 8463, 'deadRate': '0.57', 'healRate': '30.82'}","{'dead': 1666, 'heal': 9425, 'nowConfirm': 57493, 'deadRate': '2.43', 'healRate': '13.74'}"
02.16,"{'dead': 1696, 'heal': 6639, 'nowConfirm': 49847, 'deadRate': '2.91', 'healRate': '11.41'}","{'dead': 76, 'heal': 4214, 'nowConfirm': 8163, 'deadRate': '0.61', 'healRate': '33.84'}","{'dead': 1772, 'heal': 10853, 'nowConfirm': 58010, 'deadRate': '2.51', 'healRate': '15.36'}"
02.17,"{'dead': 1789, 'heal': 7862, 'nowConfirm': 50338, 'deadRate': '2.98', 'healRate': '13.11'}","{'dead': 81, 'heal': 4699, 'nowConfirm': 7759, 'deadRate': '0.65', 'healRate': '37.48'}","{'dead': 1870, 'heal': 12561, 'nowConfirm': 58097, 'deadRate': '2.58', 'healRate': '17.32'}"
02.18,"{'dead': 1921, 'heal': 9128, 'nowConfirm': 50633, 'deadRate': '3.11', 'healRate': '14.80'}","{'dead': 85, 'heal': 5259, 'nowConfirm': 7253, 'deadRate': '0.67', 'healRate': '41.75'}","{'dead': 2006, 'heal': 14387, 'nowConfirm': 57886, 'deadRate': '2.70', 'healRate': '19.37'}"
02.19,"{'dead': 2029, 'heal': 10337, 'nowConfirm': 50091, 'deadRate': '3.25', 'healRate': '16.55'}","{'dead': 92, 'heal': 5820, 'nowConfirm': 6295, 'deadRate': '0.73', 'healRate': '46.39'}","{'dead': 2121, 'heal': 16157, 'nowConfirm': 56386, 'deadRate': '2.83', 'healRate': '21.54'}"
02.20,"{'dead': 2144, 'heal': 11788, 'nowConfirm': 49156, 'deadRate': '3.40', 'healRate': '18.69'}","{'dead': 95, 'heal': 6478, 'nowConfirm': 5895, 'deadRate': '0.74', 'healRate': '50.20'}","{'dead': 2239, 'heal': 18266, 'nowConfirm': 55051, 'deadRate': '2.95', 'healRate': '24.04'}"
02.21,"{'dead': 2250, 'heal': 13557, 'nowConfirm': 47647, 'deadRate': '3.55', 'healRate': '21.37'}","{'dead': 98, 'heal': 7116, 'nowConfirm': 5724, 'deadRate': '0.76', 'healRate': '55.00'}","{'dead': 2348, 'heal': 20673, 'nowConfirm': 53371, 'deadRate': '3.07', 'healRate': '27.06'}"
02.22,"{'dead': 2346, 'heal': 15299, 'nowConfirm': 46439, 'deadRate': '3.66', 'healRate': '23.87'}","{'dead': 99, 'heal': 7608, 'nowConfirm': 5250, 'deadRate': '0.76', 'healRate': '58.72'}","{'dead': 2445, 'heal': 22907, 'nowConfirm': 51689, 'deadRate': '3.17', 'healRate': '29.73'}"
02.23,"{'dead': 2495, 'heal': 16738, 'nowConfirm': 45054, 'deadRate': '3.88', 'healRate': '26.04'}","{'dead': 100, 'heal': 8019, 'nowConfirm': 4856, 'deadRate': '0.77', 'healRate': '61.80'}","{'dead': 2595, 'heal': 24757, 'nowConfirm': 49910, 'deadRate': '3.36', 'healRate': '32.04'}"
02.24,"{'dead': 2563, 'heal': 18854, 'nowConfirm': 43369, 'deadRate': '3.96', 'healRate': '29.10'}","{'dead': 103, 'heal': 8499, 'nowConfirm': 4391, 'deadRate': '0.79', 'healRate': '65.41'}","{'dead': 2666, 'heal': 27353, 'nowConfirm': 47760, 'deadRate': '3.43', 'healRate': '35.17'}"
02.25,"{'dead': 2615, 'heal': 20912, 'nowConfirm': 41660, 'deadRate': '4.01', 'healRate': '32.08'}","{'dead': 103, 'heal': 8863, 'nowConfirm': 4037, 'deadRate': '0.79', 'healRate': '68.16'}","{'dead': 2718, 'heal': 29775, 'nowConfirm': 45697, 'deadRate': '3.48', 'healRate': '38.08'}"
02.26,"{'dead': 2641, 'heal': 23200, 'nowConfirm': 39755, 'deadRate': '4.03', 'healRate': '35.37'}","{'dead': 106, 'heal': 9331, 'nowConfirm': 3597, 'deadRate': '0.81', 'healRate': '71.59'}","{'dead': 2747, 'heal': 32531, 'nowConfirm': 43352, 'deadRate': '3.49', 'healRate': '41.37'}"
02.27,"{'dead': 2682, 'heal': 26403, 'nowConfirm': 36829, 'deadRate': '4.07', 'healRate': '40.06'}","{'dead': 109, 'heal': 9754, 'nowConfirm': 3182, 'deadRate': '0.84', 'healRate': '74.77'}","{'dead': 2791, 'heal': 36157, 'nowConfirm': 40011, 'deadRate': '3.53', 'healRate': '45.79'}"
