Country,Province,City,AllOrToday,confirm,suspect,dead,heal
中国,,,All,72533,6242,1872,12677
中国,,,Today,1898,,,
中国,湖北,,All,59989,0,1789,7862
中国,湖北,,Today,1807,,,
中国,湖北,武汉,All,42752,0,1381,4219
中国,湖北,武汉,Today,1600,,,
中国,湖北,孝感,All,3320,0,75,523
中国,湖北,孝感,Today,41,,,
中国,湖北,黄冈,All,2828,0,84,941
中国,湖北,黄冈,Today,0,,,
中国,湖北,荆州,All,1537,0,38,339
中国,湖北,荆州,Today,36,,,
中国,湖北,鄂州,All,1339,0,36,265
中国,湖北,鄂州,Today,65,,,
中国,湖北,随州,All,1278,0,25,198
中国,湖北,随州,Today,11,,,
中国,湖北,襄阳,All,1163,0,21,182
中国,湖北,襄阳,Today,8,,,
中国,湖北,黄石,All,985,0,20,215
中国,湖北,黄石,Today,2,,,
中国,湖北,宜昌,All,904,0,24,186
中国,湖北,宜昌,Today,9,,,
中国,湖北,荆门,All,900,0,33,143
中国,湖北,荆门,Today,0,,,
中国,湖北,咸宁,All,868,0,10,204
中国,湖北,咸宁,Today,7,,,
中国,湖北,十堰,All,626,0,2,144
中国,湖北,十堰,Today,14,,,
中国,湖北,仙桃,All,544,0,19,121
中国,湖北,仙桃,Today,13,,,
中国,湖北,天门,All,500,0,11,55
中国,湖北,天门,Today,15,,,
中国,湖北,恩施州,All,250,0,4,90
中国,湖北,恩施州,Today,1,,,
中国,湖北,潜江,All,185,0,6,27
中国,湖北,潜江,Today,3,,,
中国,湖北,神农架,All,10,0,0,10
中国,湖北,神农架,Today,0,,,
中国,广东,,All,1328,0,4,530
中国,广东,,Today,6,,,
中国,广东,深圳,All,416,0,2,152
中国,广东,深圳,Today,1,,,
中国,广东,广州,All,339,0,0,142
中国,广东,广州,Today,0,,,
中国,广东,珠海,All,98,0,0,41
中国,广东,珠海,Today,1,,,
中国,广东,东莞,All,91,0,1,19
中国,广东,东莞,Today,2,,,
中国,广东,佛山,All,84,0,0,23
中国,广东,佛山,Today,0,,,
中国,广东,中山,All,66,0,0,39
中国,广东,中山,Today,0,,,
中国,广东,惠州,All,59,0,0,34
中国,广东,惠州,Today,1,,,
中国,广东,汕头,All,25,0,0,14
中国,广东,汕头,Today,0,,,
中国,广东,江门,All,23,0,0,6
中国,广东,江门,Today,0,,,
中国,广东,湛江,All,22,0,0,11
中国,广东,湛江,Today,0,,,
中国,广东,肇庆,All,18,0,1,8
中国,广东,肇庆,Today,1,,,
中国,广东,梅州,All,16,0,0,8
中国,广东,梅州,Today,0,,,
中国,广东,茂名,All,14,0,0,3
中国,广东,茂名,Today,0,,,
中国,广东,阳江,All,13,0,0,9
中国,广东,阳江,Today,0,,,
中国,广东,清远,All,12,0,0,5
中国,广东,清远,Today,0,,,
中国,广东,韶关,All,10,0,0,4
中国,广东,韶关,Today,0,,,
中国,广东,揭阳,All,8,0,0,4
中国,广东,揭阳,Today,0,,,
中国,广东,汕尾,All,5,0,0,2
中国,广东,汕尾,Today,0,,,
中国,广东,潮州,All,5,0,0,1
中国,广东,潮州,Today,0,,,
中国,广东,河源,All,4,0,0,1
中国,广东,河源,Today,0,,,
中国,广东,地区待确认,All,0,0,0,4
中国,广东,地区待确认,Today,0,,,
中国,河南,,All,1257,0,19,505
中国,河南,,Today,11,,,
中国,河南,信阳,All,266,0,3,28
中国,河南,信阳,Today,4,,,
中国,河南,南阳,All,155,0,2,28
中国,河南,南阳,Today,1,,,
中国,河南,郑州,All,154,0,1,36
中国,河南,郑州,Today,3,,,
中国,河南,驻马店,All,139,0,0,25
中国,河南,驻马店,Today,1,,,
中国,河南,商丘,All,91,0,1,9
中国,河南,商丘,Today,0,,,
中国,河南,周口,All,76,0,0,16
中国,河南,周口,Today,1,,,
中国,河南,平顶山,All,58,0,1,13
中国,河南,新乡,All,57,0,1,6
中国,河南,安阳,All,52,0,0,10
中国,河南,安阳,Today,1,,,
中国,河南,许昌,All,38,0,0,2
中国,河南,漯河,All,34,0,0,6
中国,河南,焦作,All,32,0,1,1
中国,河南,洛阳,All,31,0,0,2
中国,河南,开封,All,26,0,0,1
中国,河南,鹤壁,All,19,0,0,3
中国,河南,濮阳,All,17,0,0,1
中国,河南,三门峡,All,7,0,0,3
中国,河南,济源示范区,All,5,0,0,0
中国,河南,地区待确认,All,0,0,9,315
中国,河南,地区待确认,Today,0,,,
中国,浙江,,All,1172,0,0,514
中国,浙江,,Today,1,,,
中国,浙江,温州,All,504,0,0,194
中国,浙江,温州,Today,1,,,
中国,浙江,杭州,All,168,0,0,94
中国,浙江,杭州,Today,0,,,
中国,浙江,宁波,All,156,0,0,68
中国,浙江,宁波,Today,0,,,
中国,浙江,台州,All,146,0,0,64
中国,浙江,台州,Today,0,,,
中国,浙江,金华,All,55,0,0,30
中国,浙江,金华,Today,0,,,
中国,浙江,嘉兴,All,43,0,0,14
中国,浙江,嘉兴,Today,0,,,
中国,浙江,绍兴,All,42,0,0,19
中国,浙江,绍兴,Today,0,,,
中国,浙江,衢州,All,21,0,0,10
中国,浙江,衢州,Today,0,,,
中国,浙江,丽水,All,17,0,0,11
中国,浙江,丽水,Today,0,,,
